month,投资方,year,industry,num
12,腾讯,2015,4,1
12,腾讯,2015,5,1
12,阿里巴巴,2015,6,1
12,腾讯,2015,7,1
12,腾讯,2015,8,1
12,阿里巴巴,2015,10,1
12,腾讯,2015,14,1
12,腾讯,2015,15,1
12,腾讯,2016,1,4
12,阿里巴巴,2016,3,1
12,腾讯,2016,5,2
12,腾讯,2016,7,1
12,腾讯,2016,9,1
12,腾讯,2016,19,1
12,腾讯,2017,1,2
12,腾讯,2017,2,1
12,阿里巴巴,2017,3,1
12,腾讯,2017,4,1
12,腾讯,2017,5,1
12,腾讯,2017,6,2
12,腾讯,2017,7,1
12,腾讯,2017,8,1
12,阿里巴巴,2017,10,1
12,腾讯,2017,10,1
12,腾讯,2017,11,2
12,阿里巴巴,2017,13,1
12,阿里巴巴,2017,17,2
12,腾讯,2017,17,1
12,阿里巴巴,2017,21,1
12,阿里巴巴,2018,1,1
12,腾讯,2018,1,2
12,腾讯,2018,4,1
12,腾讯,2018,7,1
12,腾讯,2018,8,1
12,阿里巴巴,2018,11,1
12,阿里巴巴,2018,13,1
12,腾讯,2018,13,2
12,阿里巴巴,2018,14,1
12,腾讯,2018,16,1
12,腾讯,2019,1,1
12,腾讯,2019,3,2
12,阿里巴巴,2019,4,1
12,腾讯,2019,6,1
12,腾讯,2019,7,2
12,腾讯,2019,9,1
12,阿里巴巴,2019,10,1
12,腾讯,2019,10,1
12,阿里巴巴,2019,16,1
12,腾讯,2019,18,1
12,阿里巴巴,2019,20,1
12,腾讯,2020,1,1
12,腾讯,2020,2,3
12,腾讯,2020,3,1
12,腾讯,2020,7,2
12,腾讯,2020,19,1
